subject-name,ID,ID-path,Level,Level 1,Level 1 ID,Level 2,Level 2 ID,Level 3,Level 3 ID,Level 4,Level 4 ID,Level 5,Level 5 ID,Level 6,Level 6 ID,Level 7,Level 7 ID,Level 8,Level 8 ID,Level 9,Level 9 ID,Level 10,Level 10 ID,Level 11,Level 11 ID,Level 12,Level 12 ID,Description,Synonyms,German Synonyms,BIC_code_1,BIC_name_1,BIC_code_2,BIC_name_2,BISAC_code_1,BISAC_name_1,BISAC_code_2,BISAC_name_2,DDC_code_1,DDC_name_1,DDC_code_2,DDC_name_2,LCC_code_1,LCC_name_1,LCC_code_2,LCC_name_2,LCSH_code_1,LCSH_name_1,LCSH_code_2,LCSH_name_2,THEMA_code_1,THEMA_name_1,THEMA_code_2,THEMA_name_2,VLB_code_1,VLB_name_1,VLB_code_2,VLB_name_2,Discipline
Prehistoric Archaeology,6891,/2883/3140/6891/,3,Humanities and Social Sciences,2883,Archaeology,3140,Prehistoric Archaeology,6891,,,,,,,,,,,,,,,,,,,"Prehistoric archaeology is a subfield of archaeology that focuses on the study of human cultures and societies before the advent of written records. It involves the investigation and interpretation of archaeological evidence from prehistoric periods, when humans relied on oral traditions and material culture to transmit information across generations.","Prehistory, Stone Age archaeology, Paleolithic archaeology",Prähistorische Archäologie,HDDA,Prehistoric archaeology,,,SOC003000,SOCIAL SCIENCE / Archaeology,,,930.1,Archaeology,,,GN700-890,Prehistoric archaeology,,,,Prehistoric peoples,,,NKD,Archaeology by period / region,3B,Prehistory,553,Geschichte/Altertum,,,TRUE
Media and Communication History,6894,/2883/3072/6894/,3,Humanities and Social Sciences,2883,Media and Communication,3072,Media and Communication History,6894,,,,,,,,,,,,,,,,,,,"Media and communication history refers to the study and exploration of the development and evolution of various forms of media and communication throughout human history. It involves examining the technologies, practices, institutions, and social implications of media and communication over time. Studying media and communication history provides insights into the social, cultural, and technological forces that have shaped human communication practices and the role of media in society. It allows for an understanding of how media and communication have evolved, influenced culture and politics, and shaped our contemporary media landscape.","Media History, Communication History, Mass Communication History, History of Media Technologies","Mediengeschichte, Kommunikationsgeschichte, Medien- und Kommunikationsgeschichte",JFD,Media studies,GTC,Communication studies,SOC052000,SOCIAL SCIENCE / Media Studies,LAN004000,LANGUAGE ARTS & DISCIPLINES / Communication Studies,302.209,Communication--history,,,P96.H55-.H552,History and mass media. Relation of mass media to history,,,,Mass media and history,,,JBCT,Media studies,GTC,Communication studies,744,"Medien, Kommunikation/Medienwissenschaft",,,TRUE
Theoretical Psychology,6914,/2883/3001/6914/,3,Humanities and Social Sciences,2883,Behavioral Sciences and Psychology,3001,Theoretical Psychology,6914,,,,,,,,,,,,,,,,,,,"Theoretical psychology refers to a branch of psychology that is concerned with developing, testing, and refining theories and models of human behavior, mental processes, and experience. Theoretical psychologists often use a range of qualitative and quantitative methods to generate and evaluate hypotheses about psychological phenomena, such as observation, experimentation, simulation, and analysis of discourse, texts, or artifacts. Theoretical psychology draws on insights from various fields, such as philosophy, linguistics, sociology, biology, and computer science, to construct conceptual frameworks and models that can account for the complexity, diversity, and dynamics of psychological phenomena.",,Theoretische Psychologie,JMA,Psychological theory & schools of thought,,,PSY000000,PSYCHOLOGY / General,,,150.1,"Philosophy and theory; systems, viewpoints",,,BF38,Philosophy. Relation to other topics,,,,Psychology,,,JMA,"Psychological theory, systems, schools and viewpoints",,,533,Psychologie/Theoretische Psychologie,,,TRUE
Microsystems and MEMS,6940,/2887/3297/6940/,3,Technology and Engineering,2887,Biological and Physical Engineering,3297,Microsystems and MEMS,6940,,,,,,,,,,,,,,,,,,,"miniaturized systems and devices that integrate mechanical, electrical, and sometimes optical components on a microscale. They involve the fabrication, design, and application of miniature systems and structures that can sense, control, and interact with the surrounding environment.","Microtechnology and MEMS, Microsystem Technology, Microdevices and MEMS, Miniature Systems and Microsystems, Microfabrication and MEMS","Mikrosystemtechnik, Mikrotechnik, Microsysteme, MEMS",TJF,Electronics engineering,,,TEC027000,TECHNOLOGY & ENGINEERING / Nanotechnology & MEMS,,,621.381,Electronics,,,TK7875,Microelectromechanical systems,,,,Microtechnology,,Microelectromechanical systems,TJF,Electronics engineering,,,681,"Technik/Allgemeines, Lexika",,,TRUE
Visual Culture,6963,/2883/3194/6963/,3,Humanities and Social Sciences,2883,Cultural Studies,3194,Visual Culture,6963,,,,,,,,,,,,,,,,,,,"Visual Culture studies the role and impact of visual images and media in society, exploring how visual representations shape cultural perceptions and social interactions.",,Visuelle Kultur,JFC,Cultural studies,,,SOC002010,SOCIAL SCIENCE / Anthropology / Cultural & Social,,,306,Culture and institutions,,,HM623,Study and teaching. Research. Cultural studies,,,,Culture—Study and teaching,,,JBCC,Cultural studies,,,720,Soziologie,,,TRUE
Philosophical Methods,6969,/2883/3192/6969/,3,Humanities and Social Sciences,2883,Philosophy,3192,Philosophical Methods,6969,,,,,,,,,,,,,,,,,,,"Philosophical Methods is the study of what philosophy is (so is the philosophy of philosophy or metaphilosophy) by considering how philosophy has been done, how it is done and how it should be done.",,"Philosophische Methoden, Methoden der Philosophie",HP,Philosophy,,,PHI014000,PHILOSOPHY / Methodology,,,101,Theory of philosophy,,,B53-67,Philosophy. Methodology. Relation to other topics,,,,Philosophy,,Methodology,QDT,Topics in philosophy,,,521,"Philosophie/Allgemeines, Lexika",,,TRUE
World Philosophy,6975,/2883/3192/6975/,3,Humanities and Social Sciences,2883,Philosophy,3192,World Philosophy,6975,,,,,,,,,,,,,,,,,,,"World Philosophy is the comparative study of philosophical traditions and ideas from various cultural and historical contexts, aiming to promote understanding and dialogue between different intellectual systems and perspectives.",World idealogy,Weltanschauung,HP,Philosophy,,,PHI000000,PHILOSOPHY / General,,,100,"Philosophy, parapsychology and occultism, psychology",,,B1-5802,Philosophy (General),,,,Philosophy,,,QD,Philosophy,,,520,Philosophie,,,TRUE
Anthropology of Religion,7001,/2883/2941/7001/,3,Humanities and Social Sciences,2883,Religion,2941,Anthropology of Religion,7001,,,,,,,,,,,,,,,,,,,"Anthropology of religion is the study of religion in relation to other social institutions, and the comparison of religious beliefs and practices across cultures.",,Anthropologie der Religion,JFSR,Religious groups: social & cultural aspects,,,SOC039000,SOCIAL SCIENCE / Sociology of Religion,,,218,Humankind,,,GN470-474,Religion and ritual. Belief systems,,,,Anthropology of religion,,,JBSR,Social groups: religious groups and communities,,,549,Religion/Theologie/Sonstiges,,,TRUE
Spirituality,7016,/2883/2941/7016/,3,Humanities and Social Sciences,2883,Religion,2941,Spirituality,7016,,,,,,,,,,,,,,,,,,,"Spirituality is the way in which a person understands and lives life in view of her or his ultimate meaning, beliefs, and values. It is the unifying and integrative aspect of the person's life and, when lived intentionally, is experienced as a process of growth and maturity.",,Spiritualität,HRLK,Spirituality & religious experience,,,REL062000,RELIGION / Spirituality,,,204,"Religious experience, life, practice",,,B105.S64,Spirit. Spirituality,,,,Spirituality,,,QRYM2,Spiritualism,,,543,Religion/Theologie/Praktische Theologie,,,TRUE
Cultural Theory,7049,/2883/3194/7049/,3,Humanities and Social Sciences,2883,Cultural Studies,3194,Cultural Theory,7049,,,,,,,,,,,,,,,,,,,"Cultural Theory has its roots both in Frankfurt School social theory and the cultural studies program at the University of Birmingham (UK) led by Stuart Hall in the late 20th century. The theoretical/philosophical wing of cultural studies, cultural theory studies media, art, cultural institutions, etc., to develop theories about cultural phenomena, problems, relations, and so on.",,Kulturtheorie,JFC,Cultural studies,,,SOC000000,SOCIAL SCIENCE / General,,,306.01,Culture--Theory,,,HM623,Study and teaching. Research. Cultural studies,,,,Culture—Study and teaching,,,JBCC,Cultural studies,,,729,Soziologie/Sonstiges,,,TRUE
History of Education,7071,/2883/3353/7071/,3,Humanities and Social Sciences,2883,Education,3353,History of Education,7071,,,,,,,,,,,,,,,,,,,"The first education system was created in Xia dynasty (2076–1600 BC). During Xia dynasty, government built schools to educate aristocrats about rituals, literature and archery (important for ancient Chinese aristocrats). During Shang dynasty (1600 BC to 1046 BC), normal people (farmers, workers etc.)  Perhaps the earliest formal school was developed in Egypt's Middle Kingdom under the direction of Kheti, treasurer to Mentuhotep II (2061-2010 BC). In Mesopotamia, the early logographic system of cuneiform script took many years to master. Thus only a limited number of individuals were hired as scribes to be trained in its reading and writing. Only royal offspring and sons of the rich and professionals such as scribes, physicians, and temple administrators, were schooled.","Educational Heritage, Pedagogical Evolution, Schooling History, Educational Chronicle, Learning Progression",Geschichte der Erziehungswissenschaft,JNB,History of education,,,EDU016000,EDUCATION / History,,,370.9,"History, geographic treatment, biography",,,LA1-2396,History of education,,,,Education—History,,,JNB,History of education,,,571,"Pädagogik/Allgemeines, Lexika",,,TRUE
Philosophical Anthropology,7077,/2883/3192/7077/,3,Humanities and Social Sciences,2883,Philosophy,3192,Philosophical Anthropology,7077,,,,,,,,,,,,,,,,,,,"Philosophical anthropology is a branch of philosophy that examines fundamental questions about human nature, existence, and the essence of what it means to be human. It explores the nature of human beings, their place in the world, their relationships with others, and their search for meaning and purpose. Philosophical anthropology is an interdisciplinary field that draws from philosophy, anthropology, psychology, sociology, and other disciplines.","Anthropological Philosophy, Philosophy of Human Nature, Metaphysics of the Human Being",Philosophische Anthropologie,JHMC,"Social & cultural anthropology, ethnography",HPS,Social & political philosophy,SOC002010,SOCIAL SCIENCE / Anthropology / Cultural & Social,,,128,Humankind,,,BD450,Philosophical anthropology,,,,Philosophical anthropology,,,JHMC,Social and cultural anthropology,QDTS,Social and political philosophy,520,Philosophie,,,TRUE
Political Psychology,7080,/2883/3001/7080/,3,Humanities and Social Sciences,2883,Behavioral Sciences and Psychology,3001,Political Psychology,7080,,,,,,,,,,,,,,,,,,,"Political psychology is a field within psychology that seeks to understand political behavior, attitudes, and decision-making processes. It examines how individuals and groups interact with political institutions and each other, and how factors such as personality, emotions, and social identity influence political behavior. Political psychology also explores the impact of political events, media, and communication on individuals and society, and seeks to develop strategies for promoting democratic values, conflict resolution, and social justice.",,Politische Psychologie,JM,Psychology,JP,Politics & government,PSY003000,PSYCHOLOGY / Applied Psychology,POL000000,POLITICAL SCIENCE / General,320.019,Psychological principles,,,JA74.5,Relation to psychology. Political psychology,,,,Political psychology,,,JM,Psychology,JP,Politics and government,530,Psychologie,,,TRUE
"World History, Global and Transnational History",7177,/2883/2954/7177/,3,Humanities and Social Sciences,2883,History,2954,"World History, Global and Transnational History",7177,,,,,,,,,,,,,,,,,,,"World History, Global and Transnational History examines historical processes and events from a global perspective, emphasizing cross-cultural interactions, exchanges, and the interconnectedness of different regions.",,Weltgeschichte und länderübergreifende Geschichte,HBG,General & world history,,,HIS037000,HISTORY / World,,,909,World History,,,D17-24.5,World histories,,,,World history,,,NHB,General and world history,,,551,"Geschichte/Allgemeines, Lexika",,,TRUE
"Building Physics, HVAC",7216,/2887/3586/7216/,3,Technology and Engineering,2887,Civil Engineering,3586,"Building Physics, HVAC",7216,,,,,,,,,,,,,,,,,,,"Building physics is the scientific study of the physical behavior of buildings. It involves understanding and controlling the interactions between a building and its surrounding environment, including heat, air, moisture, and light. They are closely related fields that deal with the design, analysis, and optimization of buildings' thermal performance and indoor environmental quality.","Building Science, Building Performance, Building Technology, Building Systems, HVACR (Heating, Ventilation, Air Conditioning, And Refrigeration)","Bauphysik, Technischer Ausbau, Haustechnik, TGA, Technische Gebäudeausrüstung",TNKH,"Heating, lighting, ventilation",,,TEC009020,TECHNOLOGY & ENGINEERING / Civil / General,,,697,"Heating, ventilating, air-conditioning engineering",,,TH7005-7699,Heating and ventilation,,,,Buildings—Environmental engineering,,,TNKE,Building physics and energy-efficient construction,,,685,"Technik/Bautechnik, Umwelttechnik",,,TRUE
Cross-cultural Studies,7247,/2883/2941/7247/,3,Humanities and Social Sciences,2883,Religion,2941,Cross-cultural Studies,7247,,,,,,,,,,,,,,,,,,,"Cross-cultural studies, sometimes called holocultural studies or comparative studies, is a specialization in anthropology and sister sciences such as sociology, psychology, economics, political science that uses field data from many societies through comparative research to examine the scope of human behavior and test hypotheses about human behavior and culture.","Cross-cultural Studies, Holocultural studie",Interkulturelle Studien,JFC,Cultural studies,HRA,Religion: general,REL000000,RELIGION / General,,,201.7,Attitudes of religions toward social issues,"303,482",Contact between cultures,BL65.C8,Culture,,,,Religion and culture,,,JBCC7,Cross-cultural studies and topics,QRA,Religion: general,549,Religion/Theologie/Sonstiges,,,TRUE
General Mathematics,7280,/2925/2924/7280/,3,Mathematics and Computing,2925,Mathematics,2924,General Mathematics,7280,,,,,,,,,,,,,,,,,,,"General mathematics is the non?specialized introduction to mathematical ideas, combining topics such as arithmetic, basic algebra, geometry, and practical problem?solving. It is typically designed for learners who need a wide foundation, emphasizing everyday applications and logical thinking.",,Allgemeine Mathematik,PB,Mathematics,,,MAT000000,MATHEMATICS / General,,,510,Mathematics,,,QA1-939,Mathematics,,,,Mathematics,,,PB,Mathematics,,,621,"Mathematik/Allgemeines, Lexika",,,TRUE
Phenomenology of Religion,7339,/2883/2941/7339/,3,Humanities and Social Sciences,2883,Religion,2941,Phenomenology of Religion,7339,,,,,,,,,,,,,,,,,,,"The phenomenology of religion concerns the experiential aspect of religion, describing religious phenomena in terms consistent with the orientation of worshippers. It views religion as made up of different components, and studies these components across religious traditions in order to gain some understanding of them.",,Phänomenologie der Religion,HRLK,Spirituality & religious experience,,,REL051000,RELIGION / Philosophy,,,210,Philosophy and theory of religion,"142,7",Phenomenology,BL60,Religion and sociology,,,,Religion and sociology,,,QRVK4,"Miracles, apparitions and religious phenomena",,,549,Religion/Theologie/Sonstiges,,,TRUE
Digital and New Media,7440,/2883/3072/7440/,3,Humanities and Social Sciences,2883,Media and Communication,3072,Digital and New Media,7440,,,,,,,,,,,,,,,,,,,"An academic discipline that explores the intersections of computing, science, the humanities, and the visual and performing arts. The main factor in defining new media is the role the Internet plays; new media is effortlessly spread instantly. The category of new media is occupied by devices connected to the Internet, an example being a smartphone or tablet.","New media studies, Digital media, New media",Digitale und neue Medien,JFD,Media studies,,,SOC052000,SOCIAL SCIENCE / Media Studies,,,302.231,Digital media,,,P87-96,Communication. Mass media,,,,Digital media,,,JBCT1,"Media studies: internet, digital media and society",,,744,"Medien, Kommunikation/Medienwissenschaft",,,TRUE
Diplomatic and International History,7459,/2883/2954/7459/,3,Humanities and Social Sciences,2883,History,2954,Diplomatic and International History,7459,,,,,,,,,,,,,,,,,,,"Diplomatic and International History studies the interactions between states, including diplomacy, treaties, conflicts, and international organizations, from historical perspectives.",,Diplomatische und internationale Geschichte,HB,History,,,HIS000000,HISTORY / General,,,909,World History,"327,109","History, geographic treatment, biography of foreign policy",JZ1305-2060,Scope of international relations. Political theory. Diplomacy,,,,International relations—History,,,NH,History,,,550,Geschichte,,,TRUE
Classical Studies,7506,/2883/2954/7506/,3,Humanities and Social Sciences,2883,History,2954,Classical Studies,7506,,,,,,,,,,,,,,,,,,,"Classical Studies, or Classics, is the interdisciplinary study of the ancient Mediterranean world, particularly ancient Greece and Rome. This field investigates the languages, literature, history, art, philosophy, and archaeology of these civilizations, providing insights into their cultural, social, and political development.",Classics,Klassische Studien,DSBB,"Literary studies: classical, early & medieval",HBLA1,Classical history / classical civilisation,LIT004190,LITERARY CRITICISM / Ancient & Classical,,,930,History of ancient world to ca. 499,,,D51-95,Ancient history,,,,"History, Ancient",,,DSBB,"Literary studies: ancient, classical and medieval",NHC,Ancient history,567,"Klassische  Sprachwissenschaft, Literaturwissenschaft",,,TRUE
Spiritualism,7583,/2883/2941/7583/,3,Humanities and Social Sciences,2883,Religion,2941,Spiritualism,7583,,,,,,,,,,,,,,,,,,,"Spiritualism was a social religious movement in the nineteenth century, according to which an individual's awareness persists after death and may be contacted by the living","Cabala, Ontologism",Spiritualismus,HRQM2,Spiritualism,,,OCC027000,"BODY, MIND & SPIRIT / Spiritualism",,,133.9,Spiritualism,,,BF1227.2-1389,Spiritualism. Communication with discarnate spirits,,,,Spiritualism,,,QRYM2,Spiritualism,,,545,Religion/Theologie/Weitere Religionen,,,TRUE
Criminal Law and Criminal Procedure Law,7664,/2883/3291/7664/,3,Humanities and Social Sciences,2883,Law,3291,Criminal Law and Criminal Procedure Law,7664,,,,,,,,,,,,,,,,,,,Criminal law generally defines the rights and obligations of individuals in society. Some common issues in criminal law are the elements of specific crimes and the elements of various criminal defenses. Criminal procedure generally concerns the enforcement of individuals' rights during the criminal process.,Criminal Procedure Law,Strafrecht und Strafprozessrecht,LNF,Criminal law & procedure,,,LAW026000,LAW / Criminal Law / General,,,345,Criminal law,,,K5000-5582,Criminal law and procedure,,,,Criminal law,,,LNF,Criminal law: procedure and offences,,,774,"Recht/Strafrecht, Strafprozessrecht, Kriminologie",,,TRUE
Law and Religion,7696,/2883/2941/7696/,3,Humanities and Social Sciences,2883,Religion,2941,Law and Religion,7696,,,,,,,,,,,,,,,,,,,"Law and religion is the interdisciplinary study of relationships between law, especially public law, and religion.","Law, Religion",Recht und Religion,HRAM,Religious issues & debates,,,REL084000,"RELIGION / Religion, Politics & State",,,208.4,Laws and decisions,"344,096",Religion,BL65.L33,Law,,,,Religion and law,,,LNDG,Religious law and concordats,,,549,Religion/Theologie/Sonstiges,,,TRUE
Business Informatics,7748,/2925/2971/7748/,3,Mathematics and Computing,2925,Computer Science,2971,Business Informatics,7748,,,,,,,,,,,,,,,,,,,"Business informatics (BI) is a discipline combining economics, economics of digitization, business administration, information technology (IT), and concepts of computer science.",,Wirtschaftsinformatik,KJQ,Business mathematics & systems,,,COM005030,COMPUTERS / Business & Productivity Software / Business Intelligence,,,650.0285,Business--computer applications,"658,05",Computer applications,HF5548.125-.6,Data processing,,,,Business—Data processing,,,KJQ,Business mathematics and systems,,,635,"Informatik, EDV/Anwendungs-Software",,,TRUE
Environmental Civil Engineering,7763,/2887/3586/7763/,3,Technology and Engineering,2887,Civil Engineering,3586,Environmental Civil Engineering,7763,,,,,,,,,,,,,,,,,,,"Environmental Civil Engineering deals with the those aspects of the environment that are directly affecting Civil Engineering, i.e.soil, water, noise protection, waste. In contrast to Process Engineering (e.g. air treatment). (rephrased by MM).",,Umwelttechnik,TQ,"Environmental science, engineering & technology",,,TEC010000,TECHNOLOGY & ENGINEERING / Environmental / General,TEC009020,TECHNOLOGY & ENGINEERING / Civil / General,628,Sanitary engineering,,,TD1-1066,Environmental technology. Sanitary engineering,TA1-2040,Engineering (General). Civil engineering (General),,Environmental engineering,,Civil engineering,TQ,"Environmental science, engineering and technology",,,685,"Technik/Bautechnik, Umwelttechnik",,,TRUE
Mechanical Power Engineering,7766,/2887/3102/7766/,3,Technology and Engineering,2887,Mechanical Engineering,3102,Mechanical Power Engineering,7766,,,,,,,,,,,,,,,,,,,Engineering focussed on developing power facilities.,,Mechanische Energietechnik,TH,Energy technology & engineering,,,TEC031000,TECHNOLOGY & ENGINEERING / Power Resources / General,,,621.31,"Generation, modification, storage, transmission of electric power",,,TK1001-1841,Production of electric energy or power,,,,Electric power production,,,TH,Energy technology and engineering,,,683,"Technik/Wärmetechnik, Energietechnik, Kraftwerktechnik",,,TRUE
"Engineering Thermodynamics, Heat and Mass Transfer",7779,/2887/3102/7779/,3,Technology and Engineering,2887,Mechanical Engineering,3102,"Engineering Thermodynamics, Heat and Mass Transfer",7779,,,,,,,,,,,,,,,,,,,"Engineering Thermodynamics, Heat Transfer, and Mass Transfer are three closely related fields in engineering that deal with the transfer and conversion of energy and matter in various systems. Engineering thermodynamics focuses on the application of thermodynamic principles to engineering systems, Heat transfer deals with the mechanisms and rates of thermal energy transfer between objects or regions, Mass transfer involves the transport of mass (e.g., gases, liquids, or solids) within or between phases.","Thermal Sciences, Energy Transfer and Conversion, Heat and Momentum Transfer, Transport Phenomena, Thermofluid Sciences, Heat, Mass, And Energy Transfer","Technische Thermodynamik, Wärmetransport, Massentransport, Wärmeübertragung, Stoffübertragung",TGMB,Engineering thermodynamics,,,SCI065000,SCIENCE / Mechanics / Thermodynamics,,,621.4021,Thermodynamics,,,TJ265,Theory of heat engines. Thermodynamics,TP156.M3,Mass transfer,,Thermodynamics,,Heat engineering,TGMB,Engineering thermodynamics,,,683,"Technik/Wärmetechnik, Energietechnik, Kraftwerktechnik",,,TRUE
Cancer Biology,7781,/2874/2873/7781/,3,Life Sciences,2874,Biological Sciences,2873,Cancer Biology,7781,,,,,,,,,,,,,,,,,,,"Cancer biology is the field of study that focuses on understanding the mechanisms behind the development and progression of cancer. It encompasses various aspects of cancer research, including the cellular and molecular processes involved in tumor formation, growth, and metastasis.","Cancer Research, Tumor Biology","Krebsbiologie, Tumorbiologie",MJCL,Oncology,,,MED062000,MEDICAL / Oncology / General,,,571.978,Tumors,"616,994",Cancers,RC261-271,Cancer and other malignant neoplasms,,,,Cancer,,,MJCL,Oncology,,,692,Medizin/Nichtklinische Fächer,,,TRUE
Psychological Assessment,7807,/2883/3001/7807/,3,Humanities and Social Sciences,2883,Behavioral Sciences and Psychology,3001,Psychological Assessment,7807,,,,,,,,,,,,,,,,,,,"Psychological assessment is a field of psychology that involves evaluating and measuring a person's mental, emotional, and behavioral functioning to diagnose and understand psychological issues, determine treatment needs, and evaluate treatment outcomes. It involves the use of various standardized tests, measures, and techniques to gather information about a person's psychological functioning, such as cognitive abilities, personality traits, emotional states, and behavioral patterns. The results of the assessment can be used to develop personalized treatment plans, monitor progress, and inform important decisions in various settings, such as clinical, educational, and forensic contexts.",Psychologische Diagnostik,Psychologische Messung,JMBT,Psychological testing & measurement,,,PSY042000,"PSYCHOLOGY / Assessment, Testing & Measurement",,,155.28,Appraisals and tests,,,BF176,Psychological tests and testing,,,,Psychological tests,,,JMBT,Psychological testing and measurement,,,532,Psychologie/Grundlagen,,,TRUE
Economic Psychology,7811,/2883/3001/7811/,3,Humanities and Social Sciences,2883,Behavioral Sciences and Psychology,3001,Economic Psychology,7811,,,,,,,,,,,,,,,,,,,"Economic psychology is a field of study that examines the psychological and behavioral factors that influence economic decisions and behaviors. It applies principles and theories from psychology to better understand how individuals and groups make choices related to financial matters, such as saving, investing, spending, and borrowing. Economic psychology explores how cognitive, emotional, social, and cultural factors impact economic decision-making, and how these factors can be leveraged to improve economic outcomes at the individual, group, and societal levels. It has practical applications in areas such as consumer behavior, marketing, financial planning, public policy, and organizational management.",,Wirtschaftspsychologie,JMJ,Occupational & industrial psychology,,,PSY021000,PSYCHOLOGY / Industrial & Organizational Psychology,,,330.019,Economics--psychology,,,HB74.P8,Psychology,,,,Economics—Psychological aspects,,,JMJ,Occupational and industrial psychology,,,534,Psychologie/Angewandte Psychologie,,,TRUE
Critical Psychology,7819,/2883/3001/7819/,3,Humanities and Social Sciences,2883,Behavioral Sciences and Psychology,3001,Critical Psychology,7819,,,,,,,,,,,,,,,,,,,Critical Psychology,,Kritische Psychologie,JMA,Psychological theory & schools of thought,,,PSY045000,PSYCHOLOGY / Movements / General,PHI040000,PHILOSOPHY / Movements / Critical Theory,150.198,Other systems,,,BF39.9,Critical psychology,,,,Critical psychology,,,JMA,"Psychological theory, systems, schools and viewpoints",,,533,Psychologie/Theoretische Psychologie,,,TRUE
Art History,7904,/2883/3006/7904/,3,Humanities and Social Sciences,2883,Arts,3006,Art History,7904,,,,,,,,,,,,,,,,,,,"Art history is the study of aesthetic objects and visual expression in historical and stylistic context. Since it examines works of art in the context of time, it is adjacent to, but distinguishable from art criticism, art theory and philosophy of art.",,Kunstgeschichte,AC,History of art / art & design styles,,,ART015000,ART / History / General,,,709,"History, geographic treatment, biography",,,N5300-7418,History,,,,Art—History,,,AGA,History of art,,,582,Kunst/Kunstgeschichte,,,TRUE
Didactics and Teaching Methodology,7954,/2883/3353/7954/,3,Humanities and Social Sciences,2883,Education,3353,Didactics and Teaching Methodology,7954,,,,,,,,,,,,,,,,,,,"Didactics and teaching methodology are two related concepts in the field of education that focus on the practice of teaching and learning. While they are interconnected, they have distinct meanings. Didactics refers to the science or theory of teaching. It encompasses the principles, methods, and techniques used to facilitate effective teaching and learning processes. Teaching methodology, on the other hand, refers to the specific approaches, techniques, and strategies used by teachers to deliver instruction and facilitate learning.","Pedagogy, Instructional methods, Teaching techniques",Didaktik und Unterrichtsmethodik,JNT,Teaching skills & techniques,,,EDU029000,EDUCATION / Teaching Methods & Materials / General,,,371.102,Teaching,,,LB1024.2-1050.75,Teaching (Principles and practice),,,,Teaching,,,JNT,Teaching skills and techniques,,,574,"Pädagogik/Schulpädagogik, Didaktik, Methodik",,,TRUE
Media Education,7956,/2883/3353/7956/,3,Humanities and Social Sciences,2883,Education,3353,Media Education,7956,,,,,,,,,,,,,,,,,,,"Media literacy education is the process used to advance media literacy competencies, and it is intended to promote awareness of media influence and create an active stance towards both consuming and creating media.",,Medienpädagogik,JN,Education,JFD,Media studies,EDU000000,EDUCATION / General,,,302.23071,Media--education,,,P96.E29-.E292,Education,,,,Mass media and education,,,JN,Education,JBCT,Media studies,574,"Pädagogik/Schulpädagogik, Didaktik, Methodik",,,TRUE
Social Education,7962,/2883/3353/7962/,3,Humanities and Social Sciences,2883,Education,3353,Social Education,7962,,,,,,,,,,,,,,,,,,,"Social education is education for the betterment of the individual's social, economic and political and moral life. Social Education is education which enables a community to assume direction of its own development.","Cultural education, General education",Sozialpädagogik,JKSN,Social work,,,SOC025000,SOCIAL SCIENCE / Social Work,EDU000000,EDUCATION / General,370.115,Education for social responsibility,,,HV11-11.8.Z,Study and teaching. Research. Schools. Social work education,,,,Social work education,,,JNE,Social pedagogy,,,578,"Pädagogik/Sozialpädagogik, Soziale Arbeit",,,TRUE
Social Policy,7998,/2883/2891/7998/,3,Humanities and Social Sciences,2883,Social Sciences,2891,Social Policy,7998,,,,,,,,,,,,,,,,,,,"Social policy refers to a set of principles, guidelines, laws, and programs implemented by governments and institutions to address social issues, improve the well-being of individuals and communities, and promote social justice and equality. It involves the formulation and implementation of policies and programs to tackle various social challenges and provide support and assistance to vulnerable populations.","Welfare Policy, Social Welfare Programs, Public Policy for Social Issues, Social Services Policies",Sozialpolitik,JKS,Social welfare & social services,JPR,Regional government,POL029000,POLITICAL SCIENCE / Public Policy / Social Policy,,,361.61,Social policy,,,HV70-72,Charities and state. Government policy,,,,Social policy,,,JKS,Social welfare and social services,JPR,"Regional, state and other local government",728,Soziologie/Politische Soziologie,,,TRUE
Organizational and Strategic Communication,8023,/2883/3072/8023/,3,Humanities and Social Sciences,2883,Media and Communication,3072,Organizational and Strategic Communication,8023,,,,,,,,,,,,,,,,,,,"Strategic communication can mean either communicating a concept, a process, or data that satisfies a long-term strategic goal of an organization by allowing facilitation of advanced planning, or communicating over long distances usually using international telecommunications or dedicated global network assets to coordinate actions and activities of operationally significant commercial, non-commercial and military business or combat and logistic subunits. It can also mean the related function within an organization, which handles internal and external communication processes. Strategic communication can also be used for political warfare.",,"Organisationskommunikation, Strategische Kommunikation, Unternehmenskommunikation",KJP,Business communication & presentation,GTC,Communication studies,BUS007000,BUSINESS & ECONOMICS / Business Communication / General,,,658.45,Communication,,,HD30.3-.36,Communication in management. Communication in organizations. Communication of information,,,,Communication in organizations,,,KJP,Business communication and presentation,GTC,Communication studies,745,"Medien, Kommunikation/Kommunikationswissenschaft",,,TRUE
Media Culture,8025,/2883/3072/8025/,3,Humanities and Social Sciences,2883,Media and Communication,3072,Media Culture,8025,,,,,,,,,,,,,,,,,,,"Media culture refers to the current Western capitalist society that emerged and developed from the 20th century, under the influence of mass media. The term alludes to the overall impact and intellectual guidance exerted by the media (primarily TV, but also the press, radio and cinema), not only on public opinion but also on tastes and values.",,Medienkultur,JFD,Media studies,,,SOC052000,SOCIAL SCIENCE / Media Studies,,,302.23,Media (Means of communication),,,P94.6-.65,Relation to culture. Intercultural communication,,,,Mass media and culture,,,JBCT,Media studies,,,745,"Medien, Kommunikation/Kommunikationswissenschaft",,,TRUE
